,Stock,Bond,Commodity
2024-05-31 00:00:00,55519,24282,520
2024-06-07 00:00:00,46676,23564,1679
2024-06-14 00:00:00,40124,21957,-72
2024-06-21 00:00:00,74450,27323,993
2024-06-28 00:00:00,81078,26656,786
2024-07-05 00:00:00,75368,25731,903
2024-07-12 00:00:00,103286,32582,1864
2024-07-19 00:00:00,106883,35550,2629
2024-07-26 00:00:00,100608,40028,3492
2024-08-02 00:00:00,116707,38423,2569
2024-08-09 00:00:00,85440,30061,965
2024-08-16 00:00:00,58615,29986,131
2024-08-23 00:00:00,65742,29685,-812
2024-08-30 00:00:00,58293,31369,90
2024-09-06 00:00:00,58660,37703,1333
2024-09-13 00:00:00,43330,38202,2145
2024-09-20 00:00:00,48242,33182,1456
2024-09-27 00:00:00,75394,31170,1592
2024-10-04 00:00:00,92035,28331,2038
2024-10-11 00:00:00,122290,24453,668
2024-10-18 00:00:00,118435,28216,3420
2024-10-25 00:00:00,89646,24686,3978
2024-11-01 00:00:00,79679,28155,3670
2024-11-08 00:00:00,103284,30806,3426
2024-11-15 00:00:00,115870,22202,-794
2024-11-22 00:00:00,119166,29029,-1572
2024-11-29 00:00:00,129731,21924,-2056
2024-12-06 00:00:00,89723,20372,-2356
2024-12-13 00:00:00,86146,29504,-1298
2024-12-20 00:00:00,137035,19453,-1167
2024-12-27 00:00:00,104194,20884,-1124
2025-01-03 00:00:00,119296,20012,-576
2025-01-10 00:00:00,101856,20116,637
2025-01-17 00:00:00,64264,28211,1665
2025-01-24 00:00:00,78260,29561,412
2025-01-31 00:00:00,55507,30284,1852
