,Stock,Bond,Commodity
2024-01-19 00:00:00,0.11,0.18,-0.2
2024-01-26 00:00:00,0.35,0.24,-0.01
2024-02-02 00:00:00,0.13,0.23,-0.21
2024-02-09 00:00:00,0.36,0.16,-0.41
2024-02-16 00:00:00,0.17,0.07,-0.35
2024-02-23 00:00:00,0.16,0.26,-0.52
2024-03-01 00:00:00,0.28,0.13,-0.15
2024-03-08 00:00:00,0.25,0.41,-0.42
2024-03-15 00:00:00,0.62,0.08,0.48
2024-03-22 00:00:00,-0.04,0.23,0.32
2024-03-29 00:00:00,0.28,0.15,0.25
2024-04-05 00:00:00,0.19,0.44,0.16
2024-04-12 00:00:00,-0.08,0.2,-0.27
2024-04-19 00:00:00,0.12,0.04,-0.09
2024-04-26 00:00:00,0.1,0.29,-0.59
2024-05-03 00:00:00,0.1,0.42,-0.1
2024-05-10 00:00:00,0.21,0.5,-0.23
2024-05-17 00:00:00,0.19,0.35,0.47
2024-05-24 00:00:00,0.07,0.07,-0.32
2024-05-31 00:00:00,0.15,0.32,0.27
2024-06-07 00:00:00,0.11,0.45,0.24
2024-06-14 00:00:00,0.12,0.26,-0.22
2024-06-21 00:00:00,0.45,0.34,0.11
2024-06-28 00:00:00,0.22,0.28,0.19
2024-07-05 00:00:00,0.04,0.39,0.28
2024-07-12 00:00:00,0.41,0.59,0.16
2024-07-19 00:00:00,0.47,0.47,0.4
2024-07-26 00:00:00,0.15,0.49,0.52
2024-08-02 00:00:00,0.22,0.3,-0.08
2024-08-09 00:00:00,0.08,0.18,-0.46
2024-08-16 00:00:00,0.19,0.45,0.07
2024-08-23 00:00:00,0.22,0.46,0.15
2024-08-30 00:00:00,0.13,0.37,0.26
2024-09-06 00:00:00,0.08,0.46,0.02
2024-09-13 00:00:00,0.02,0.46,0.37
2024-09-20 00:00:00,0.27,0.22,-0.11
2024-09-27 00:00:00,0.4,0.27,0.29
2024-10-04 00:00:00,0.24,0.33,0.17
2024-10-11 00:00:00,0.32,0.29,-0.13
2024-10-18 00:00:00,0.22,0.39,0.84
2024-10-25 00:00:00,0.11,0.11,0.47
2024-11-01 00:00:00,0.14,0.49,0.06
2024-11-08 00:00:00,0.54,0.4,-0.21
2024-11-15 00:00:00,0.34,-0.0,-0.64
2024-11-22 00:00:00,0.14,0.42,0.21
2024-11-29 00:00:00,0.24,0.17,-0.1
2024-12-06 00:00:00,0.15,0.33,-0.32
2024-12-13 00:00:00,0.29,0.41,-0.25
2024-12-20 00:00:00,0.63,-0.03,0.27
2024-12-27 00:00:00,-0.08,0.23,-0.09
2025-01-03 00:00:00,0.3,0.3,-0.13
2025-01-10 00:00:00,0.13,0.42,0.18
2025-01-17 00:00:00,0.26,0.33,0.61
2025-01-24 00:00:00,0.06,0.29,-0.51
2025-01-31 00:00:00,0.08,0.32,0.37
2025-02-07 00:00:00,0.1,0.37,0.27
