,Stock,Bond,Commodity
2024-05-31 00:00:00,0.62,1.23,0.21
2024-06-07 00:00:00,0.52,1.19,0.68
2024-06-14 00:00:00,0.44,1.09,-0.03
2024-06-21 00:00:00,0.82,1.36,0.4
2024-06-28 00:00:00,0.89,1.33,0.32
2024-07-05 00:00:00,0.81,1.27,0.35
2024-07-12 00:00:00,1.09,1.58,0.72
2024-07-19 00:00:00,1.14,1.72,1.02
2024-07-26 00:00:00,1.08,1.93,1.37
2024-08-02 00:00:00,1.29,1.82,0.98
2024-08-09 00:00:00,0.94,1.43,0.38
2024-08-16 00:00:00,0.62,1.41,0.05
2024-08-23 00:00:00,0.68,1.38,-0.3
2024-08-30 00:00:00,0.6,1.45,0.03
2024-09-06 00:00:00,0.63,1.73,0.5
2024-09-13 00:00:00,0.45,1.73,0.78
2024-09-20 00:00:00,0.49,1.5,0.52
2024-09-27 00:00:00,0.76,1.41,0.56
2024-10-04 00:00:00,0.92,1.29,0.71
2024-10-11 00:00:00,1.21,1.11,0.23
2024-10-18 00:00:00,1.16,1.28,1.17
2024-10-25 00:00:00,0.89,1.13,1.35
2024-11-01 00:00:00,0.8,1.29,1.24
2024-11-08 00:00:00,0.99,1.39,1.19
2024-11-15 00:00:00,1.13,1.01,-0.29
2024-11-22 00:00:00,1.14,1.32,-0.55
2024-11-29 00:00:00,1.23,0.98,-0.73
2024-12-06 00:00:00,0.84,0.91,-0.84
2024-12-13 00:00:00,0.81,1.33,-0.46
2024-12-20 00:00:00,1.32,0.88,-0.42
2024-12-27 00:00:00,1.0,0.95,-0.4
2025-01-03 00:00:00,1.14,0.91,-0.21
2025-01-10 00:00:00,0.99,0.92,0.22
2025-01-17 00:00:00,0.61,1.27,0.57
2025-01-24 00:00:00,0.73,1.32,0.14
2025-01-31 00:00:00,0.52,1.35,0.62
