자산군,분류,AUM,Fund_Flow,ff/aum,return_1w,return_1m
주식,DM,8797502.3,8331.2,0.09,-0.5,3.5
주식,EM,830413.9,-1062.6,-0.13,0.3,1.6
주식,US,4782003.9,5277.8,0.11,-1.0,2.7
주식,Europe,132038.9,210.7,0.16,1.8,6.3
주식,Japan,596752.2,966.6,0.16,-0.9,-0.8
주식,China,321113.3,-791.4,-0.25,-0.4,-3.0
주식,Taiwan,77000.1,0.0,0.0,0.0,3.0
주식,Korea,10361.4,0.0,0.0,-0.8,4.9
주식,India,83239.8,-221.1,-0.27,1.7,-1.3
주식,Growth,1551033.4,3075.3,0.2,-1.2,2.6
주식,Value,1125434.4,734.8,0.07,0.4,4.1
주식,Large,7395675.7,2906.4,0.04,-0.5,3.2
주식,Mid,432739.6,598.8,0.14,-0.3,3.8
주식,Small,513479.5,262.5,0.05,-0.3,2.5
주식,Communication,38899.0,109.9,0.28,-4.2,2.6
주식,Discretionary,38800.8,436.8,1.13,1.0,4.2
주식,Staples,25282.7,-168.3,-0.67,1.6,1.6
주식,Energy,68627.8,-457.1,-0.67,-2.5,2.4
주식,Financial,115874.8,1947.7,1.68,1.0,5.8
주식,Healthcare,97968.3,225.0,0.23,1.5,6.1
주식,Industrial,54941.9,1100.1,2.0,-1.5,4.4
주식,Materials,37388.5,-269.8,-0.72,-0.4,4.9
주식,Technology,387889.9,1847.5,0.48,-3.5,-1.1
주식,Utilites,31296.5,-353.9,-1.13,-0.8,1.8
채권,Agg,744553.7,1939.2,0.26,0.4,0.5
채권,Bank_loan,27128.2,1104.7,4.07,-0.0,0.7
채권,Convertible,13348.3,34.7,0.26,-0.4,3.0
채권,Corporate,575606.8,2083.1,0.36,0.3,0.6
채권,Government,670026.6,-538.5,-0.08,0.1,0.6
채권,Inflation_protected,68669.8,465.7,0.68,0.6,1.2
채권,Mortgage_Backed,78705.6,803.3,1.02,0.5,0.5
채권,A_above,612525.7,1672.7,0.27,0.6,0.5
채권,IG,1154050.8,2872.3,0.25,0.3,0.5
채권,HY,124096.7,1011.9,0.82,0.2,1.4
채권,Long,241955.3,235.3,0.1,0.6,0.5
채권,Intermediate,355483.9,816.1,0.23,0.6,0.6
채권,Low,322523.3,1107.3,0.34,0.2,0.4
원자재,Diversified,20298.8,-36.0,-0.18,-1.0,4.0
원자재,Precious_metals,275011.8,968.1,0.35,1.2,7.6
원자재,Energy&Fuel,1015.7,141.0,13.88,-2.9,1.1
원자재,Industrial_metals,1218.2,7.8,0.64,-2.2,1.5
원자재,Agriculture,860.8,2.8,0.33,0.7,3.9
대체,multi_strategy,699.8,4.8,0.69,-0.0,1.8
대체,macro,162300.2,577.1,0.36,-3.2,7.8
대체,equity_hedge,1876.5,33.8,1.8,,
