,Stock,Bond,Commodity
2024-05-31 00:00:00,13580,6331,681
2024-06-07 00:00:00,9501,8888,593
2024-06-14 00:00:00,10556,5310,-546
2024-06-21 00:00:00,40812,6792,265
2024-06-28 00:00:00,20208,5664,473
2024-07-05 00:00:00,3791,7963,710
2024-07-12 00:00:00,38473,12161,414
2024-07-19 00:00:00,44409,9759,1030
2024-07-26 00:00:00,13933,10143,1336
2024-08-02 00:00:00,19890,6358,-212
2024-08-09 00:00:00,7206,3800,-1189
2024-08-16 00:00:00,17584,9684,196
2024-08-23 00:00:00,21060,9842,392
2024-08-30 00:00:00,12441,8042,690
2024-09-06 00:00:00,7573,10134,53
2024-09-13 00:00:00,2254,10183,1009
2024-09-20 00:00:00,25972,4822,-295
2024-09-27 00:00:00,39593,6030,826
2024-10-04 00:00:00,24214,7295,499
2024-10-11 00:00:00,32509,6305,-360
2024-10-18 00:00:00,22118,8585,2456
2024-10-25 00:00:00,10804,2500,1383
2024-11-01 00:00:00,14247,10764,191
2024-11-08 00:00:00,56113,8956,-604
2024-11-15 00:00:00,34704,-17,-1764
2024-11-22 00:00:00,14101,9326,605
2024-11-29 00:00:00,24811,3659,-292
2024-12-06 00:00:00,16106,7403,-904
2024-12-13 00:00:00,31127,9114,-706
2024-12-20 00:00:00,64990,-723,736
2024-12-27 00:00:00,-8030,5090,-249
2025-01-03 00:00:00,31209,6531,-356
2025-01-10 00:00:00,13686,9217,507
2025-01-17 00:00:00,27398,7371,1764
2025-01-24 00:00:00,5965,6440,-1503
2025-01-31 00:00:00,8456,7255,1083
