,2025-01-24
SPY US Equity,637366.1186
VOO US Equity,625881.1607
IVV US Equity,610210.4805
VTI US Equity,479476.3128
QQQ US Equity,334162.1503
VUG US Equity,162969.5665
1306 JP Equity,149765.7876
VEA US Equity,139019.0693
VTV US Equity,135175.8219
IEFA US Equity,122385.6161
CSPX LN Equity,116004.069
IWF US Equity,108975.9981
IJH US Equity,100376.4281
SWDA LN Equity,100012.22579
IJR US Equity,90359.271
VIG US Equity,89602.6933
VGT US Equity,89092.3247
VWO US Equity,79756.1583
IEMG US Equity,79093.12
VXUS US Equity,77341.5111
VO US Equity,76467.1505
RSP US Equity,74792.36477
XLK US Equity,76134.1887
IWM US Equity,74379.2979
1308 JP Equity,71193.4141
SCHD US Equity,68158.0127
1321 JP Equity,69735.8856
1305 JP Equity,68356.2861
VB US Equity,66483.0042
ITOT US Equity,67111.7444
VUSA LN Equity,66866.55422
IWD US Equity,63316.1779
VYM US Equity,61991.342
IVW US Equity,59546.5242
SPLG US Equity,58104.1108
510300 CH Equity,
EFA US Equity,55306.0647
SCHX US Equity,53856.3531
XLF US Equity,51647.6726
QUAL US Equity,52235.8592
VT US Equity,43290.9375
VV US Equity,42455.3632
QQQM US Equity,42883.3075
SCHF US Equity,41500.1605
IWB US Equity,41017.7944
IWR US Equity,40248.6231
SPXS LN Equity,40655.5583
DIA US Equity,39007.5522
SCHG US Equity,39395.6995
VEU US Equity,38664.0623
JEPI US Equity,38584.3437
IXUS US Equity,38525.6039
XLV US Equity,38877.6942
510310 CH Equity,
IVE US Equity,35786.166
SPYG US Equity,36006.0406
XLE US Equity,34585.794
VNQ US Equity,34846.9099
VWRD LN Equity,34325.4397
SCHB US Equity,34038.794
DFAC US Equity,33946.0883
1330 JP Equity,33524.9298
VBR US Equity,32300.1634
DGRO US Equity,31103.474
1320 JP Equity,31185.3711
VONG US Equity,26722.0517
COWZ US Equity,25831.8853
MGK US Equity,26049.0835
SPYV US Equity,25482.1536
SMH US Equity,26296.1091
MDY US Equity,24926.0007
XLY US Equity,23998.7521
510330 CH Equity,
EMIM LN Equity,23586.94894
510050 CH Equity,
159919 CH Equity,
USMV US Equity,23130.9979
SPY5 LN Equity,23572.5121
SBINIFT IN Equity,
VXF US Equity,22567.37
JEPQ US Equity,22514.2736
XLI US Equity,22207.4376
SPDW US Equity,22089.6908
IUSG US Equity,22092.0129
SP5 FP Equity,22135.16806
1348 JP Equity,21470.6198
XLC US Equity,20991.3292
VBK US Equity,20619.3682
EEDS LN Equity,20827.0659
IYW US Equity,20978.4715
DVY US Equity,20111.1167
SDY US Equity,20216.817
IUSV US Equity,20235.1409
EFV US Equity,19899.0858
ACWI US Equity,19925.896
IUSA LN Equity,19414.02623
SCHA US Equity,19007.014
XDWD LN Equity,19254.9987
2800 HK Equity,18150.8906
IWP US Equity,18692.7554
CSNDX SW Equity,18694.259
VOE US Equity,17962.0588
FNDX US Equity,18021.2113
XLU US Equity,17749.8407
ISAC LN Equity,17895.6579
510500 CH Equity,
VGK US Equity,17317.7621
VHT US Equity,16933.7162
XLP US Equity,16405.3353
AVUV US Equity,16203.6849
VOT US Equity,16354.0745
IDEV US Equity,16243.848
ZSP CN Equity,16273.58441
IWV US Equity,15954.8821
EFG US Equity,16044.402
VOOG US Equity,16260.7975
EEM US Equity,15827.5024
EMXC US Equity,15677.5317
1346 JP Equity,15837.0769
MOAT US Equity,15497.3128
OEF US Equity,15377.7171
DGRW US Equity,15267.6025
VFV CN Equity,15464.9044
SOXX US Equity,14804.6801
MTUM US Equity,15349.2775
DYNF US Equity,14854.326
ISF LN Equity,14513.00075
IWY US Equity,14426.0219
XDEW GR Equity,14296.80538
ESGU US Equity,14368.0493
IWS US Equity,14046.7175
GDX US Equity,13642.8486
0050 TT Equity,
FTEC US Equity,13907.1697
FNDF US Equity,13664.675
RDVY US Equity,13660.4967
GSLC US Equity,13697.8804
SBISENX IN Equity,
EWJ US Equity,13492.1274
DFUS US Equity,13417.614
588000 CH Equity,
IWO US Equity,13112.4889
EQQQ IM Equity,13341.54821
CGDV US Equity,13361.3323
JREU LN Equity,13099.6817
SPSM US Equity,12922.4437
159915 CH Equity,
SPMD US Equity,12893.8325
VTWO US Equity,12841.2403
IWN US Equity,12334.4287
HMWD LN Equity,12452.08514
SPHQ US Equity,11633.02868
SCHV US Equity,12187.1296
VFH US Equity,12128.3927
NOBL US Equity,11826.9946
SCHM US Equity,11867.9932
SASU LN Equity,12111.5765
00878 TT Equity,
0056 TT Equity,
DFUV US Equity,11719.5619
XIU CN Equity,11638.38125
1475 JP Equity,11386.4356
DFAT US Equity,11237.5526
VAS AU Equity,
HDV US Equity,10945.979
BBJP US Equity,11150.5404
SPPW GR Equity,11069.45342
IUIT LN Equity,11232.8392
D5BM GR Equity,10914.59365
SUSW LN Equity,10836.01718
XIC CN Equity,10717.78809
AMLP US Equity,10461.7213
VONV US Equity,10513.7776
ESGV US Equity,10546.448
I500 NA Equity,10467.2172
1591 JP Equity,10475.2011
SPTM US Equity,10175.1422
CGGR US Equity,10291.5907
512100 CH Equity,
DFAS US Equity,9925.1741
IJK US Equity,9877.0641
IGV US Equity,10039.5562
SPEM US Equity,9797.0976
XD9U GR Equity,9826.56136
WLD FP Equity,9773.84592
FNDA US Equity,9565.4394
XZMU GR Equity,9741.15682
00919 TT Equity,
FVD US Equity,9364.4512
MEUD LN Equity,9414.14754
PAVE US Equity,9209.9818
SCHE US Equity,9127.864
INDA US Equity,9158.2321
1329 JP Equity,9231.452
FTCS US Equity,8863.0259
IMEU LN Equity,8955.9203
SMEA LN Equity,8907.41801
IJJ US Equity,8733.2421
SYGUS SJ Equity,8875.84222
MGV US Equity,8691.3138
JREG LN Equity,8705.5532
QYLD US Equity,8693.9477
VSS US Equity,8614.763
ESGD US Equity,8549.8966
XSP CN Equity,8359.14334
XESX GR Equity,9012.51313
DFIV US Equity,8495.6576
SCZ US Equity,8442.7166
ESD FP Equity,8206.9217
SDVY US Equity,8369.1684
HSPX LN Equity,8183.17402
VDE US Equity,8059.9522
AVUS US Equity,8161.68
XLG US Equity,8391.0099
XZW0 GR Equity,8187.98386
CALF US Equity,8008.5762
588080 CH Equity,
VUN CN Equity,8126.82313
VYMI US Equity,7982.1795
IQLT US Equity,7840.2453
IJS US Equity,7761.1991
ONEQ US Equity,7876.5655
CIBR US Equity,7837.1102
XMWO GR Equity,7823.09178
SX5EEX GR Equity,7755.8711
IWRD LN Equity,7752.76062
PRF US Equity,7706.5862
BBCA US Equity,7609.2106
SCHH US Equity,7484.2017
DUHP US Equity,7621.3005
DFAI US Equity,7623.902
DFIC US Equity,7447.3828
DFAU US Equity,7412.673
SPLV US Equity,7243.3797
VLUE US Equity,7259.3865
ACWIU SW Equity,7316.5459
AVEM US Equity,7321.7589
DAXEX GR Equity,7360.03255
DFAX US Equity,7224.8687
FXI US Equity,7119.3427
SXXPIEX GR Equity,7253.05565
XLRE US Equity,7123.0663
VIGI US Equity,7180.61
DBEF US Equity,7172.7794
IVV AU Equity,7257.65263
LCUW GR Equity,7122.28269
VDEV LN Equity,7131.5188
IUSE LN Equity,7149.59831
VDC US Equity,6970.2607
500 FP Equity,6868.55758
EZU US Equity,7029.9959
XMUS GR Equity,7018.65349
XEF CN Equity,6937.76524
VPU US Equity,6736.8337
SPYD US Equity,6777.2346
VPL US Equity,6865.7269
FDN US Equity,7134.4755
VCR US Equity,6863.6834
00929 TT Equity,
UTNIFTY IN Equity,
IJT US Equity,6733.2408
ZCN CN Equity,6790.87109
JGLO US Equity,6792.2119
ITA US Equity,6816.4726
MGC US Equity,6797.8052
JIRE US Equity,6706.0422
IOO US Equity,6755.3486
AVDV US Equity,6614.0356
S500 FP Equity,6565.51272
ARKK US Equity,6745.8207
VGS AU Equity,
IBB US Equity,6470.4425
VUKE LN Equity,6432.93905
XUS CN Equity,6380.06331
XMHQ US Equity,6351.3213
UIMM GR Equity,6336.11669
513050 CH Equity,
XBI US Equity,6222.8179
BUFR US Equity,6295.5425
FNDE US Equity,6202.2954
SMSWLD GR Equity,6222.07353
PBUS US Equity,6217.7975
ZEA CN Equity,6148.32832
006208 TT Equity,
VCN CN Equity,6045.26802
IGM US Equity,6110.9431
EEUD LN Equity,5969.35356
XMME GR Equity,5912.40122
VIS US Equity,5946.1553
SUAS LN Equity,5918.8021
LYYB GR Equity,6003.20966
VHYD LN Equity,5878.9916
CSEMU SW Equity,5873.88631
HEFA US Equity,5827.3992
AEME FP Equity,5749.17382
AVLV US Equity,5599.9641
SMSUSA GR Equity,5660.73581
PABH FP Equity,5657.11073
JQUA US Equity,5697.8152
VONE US Equity,5616.61
AVDE US Equity,5535.3331
SJPA LN Equity,5564.98695
UST FP Equity,5540.39819
159845 CH Equity,
IXN US Equity,5507.53
KWEB US Equity,5301.0604
EWT US Equity,5412.7798
AHYQ GR Equity,5419.00267
VOOV US Equity,5381.0832
EEDM LN Equity,5346.1338
CW8 FP Equity,5407.20549
1593 JP Equity,5322.4731
360750 KS Equity,
IGF US Equity,5208.9037
GUNR US Equity,5183.5303
513330 CH Equity,
MGOC AU Equity,
UTISENX IN Equity,
R2US LN Equity,5159.5916
3033 HK Equity,4888.54607
EEWD LN Equity,5175.7397
XDAX GR Equity,5235.07014
EFAV US Equity,4975.8116
WSML LN Equity,5118.2706
NDIA LN Equity,5155.0775
OMFL US Equity,5006.7784
CGGO US Equity,5216.8386
XLB US Equity,5131.9405
IHI US Equity,5140.7676
SPY4 LN Equity,5085.316
NDXEX GR Equity,5111.48228
512880 CH Equity,
MCHI US Equity,4972.7145
PPA US Equity,4980.8529
DSI US Equity,4983.2886
BBIN US Equity,4952.7801
XMEU GR Equity,4935.65183
ACWX US Equity,4900.7394
GDXJ US Equity,4739.4179
DFAE US Equity,4897.2257
KRE US Equity,4624.1038
SPPY GR Equity,4855.20182
SAWD LN Equity,4854.037
XMAW GR Equity,4804.05372
JGRO US Equity,4853.2443
IEEM LN Equity,4675.27298
CEU2 FP Equity,4715.07445
FDL US Equity,4625.0829
CGUS US Equity,4741.4805
XDWT GR Equity,4766.17137
DLN US Equity,4666.4029
BBAX US Equity,4633.7041
CSSX5E SW Equity,4642.83237
00940 TT Equity,
FDVV US Equity,4621.181
EWSP NA Equity,4762.8199
VOX US Equity,4623.318
XMMO US Equity,4619.3196
FELC US Equity,4527.986236
URTH US Equity,4550.9975
DFEM US Equity,4538.1344
QUAL AU Equity,4572.56382
SPMO US Equity,4674.7003
XEQT CN Equity,4545.01076
EMMUSA SW Equity,4471.4752
XAIX GR Equity,4567.07516
VEUR LN Equity,4485.50889
DFSV US Equity,4371.0908
ACWD LN Equity,4440.5883
BBUS US Equity,4437.4076
RWL US Equity,4940.1331
VEQT CN Equity,4405.97775
IUSK GR Equity,4387.52233
ESGE US Equity,4356.1369
CPSEBE IN Equity,
A200 AU Equity,4310.64141
JHMM US Equity,4285.0835
EUN2 GR Equity,4332.09207
NBEES IN Equity,
MWSH GR Equity,4230.5828
AWESGS SW Equity,4271.53169
IOZ AU Equity,4248.97925
SAEM LN Equity,4215.0716
EMUEUA GR Equity,4369.98873
CAC FP Equity,4265.98193
IWQU LN Equity,4209.524
SCHK US Equity,4186.1379
CHDVD SW Equity,4163.53173
SLYV US Equity,4080.6233
IEUR US Equity,4103.3894
CHSPI SW Equity,4158.04719
LCUJ GR Equity,4108.50573
FBCG US Equity,4171.1725
JPNCHA SW Equity,4105.09691
VSGX US Equity,4032.567
EEMV US Equity,4062.8171
SPGP US Equity,4045.176
QTEC US Equity,4029.0223
ACWV US Equity,4020.5901
MWOE GR Equity,4329.26022
CBMEM SW Equity,3990.53
FV US Equity,4019.8048
512170 CH Equity,
069500 KS Equity,
SCHC US Equity,3947.4867
DIVO US Equity,3977.8816
IDV US Equity,3917.7486
IYF US Equity,3969.8718
DON US Equity,3869.5756
NDQ AU Equity,3964.61594
SUSA US Equity,3887.2442
159995 CH Equity,
S5SD GR Equity,3800.03214
512480 CH Equity,
VDNR LN Equity,3864.4001
UCAP SW Equity,3795.176
SLYG US Equity,3784.7328
DXJ US Equity,3838.2673
SPXE LN Equity,3818.0428
REET US Equity,3743.6834
BBEU US Equity,3800.8728
SKYY US Equity,3834.9975
UDVD LN Equity,3735.5805
XZEW GR Equity,3799.70231
IXJ US Equity,3769.9959
513180 CH Equity,
IYR US Equity,3686.1409
00713 TT Equity,
512000 CH Equity,
1473 JP Equity,3722.0049
RSPT US Equity,3656.2355
UKGBPB SW Equity,3627.03057
560010 CH Equity,
NAFTRAC MM Equity,3697.61212
SAEU LN Equity,3645.92859
URA US Equity,3765.4503
ELFW GR Equity,3631.65937
KNG US Equity,3541.7486
GSIE US Equity,3575.8764
STW AU Equity,3557.73396
IWDE LN Equity,3550.92896
IWVL LN Equity,3522.7565
AIRR US Equity,3553.6848
SEMA LN Equity,3498.76696
PTLC US Equity,3524.5221
VIU CN Equity,3475.27726
RBOT LN Equity,3488.1843
SPHD US Equity,3347.1948
2828 HK Equity,3379.811
VTHR US Equity,3406.6933
KBWB US Equity,3382.5426
MVOL LN Equity,3347.1039
FELG US Equity,3470.062758
HXS CN Equity,3388.45181
TCAF US Equity,3332.69098
VMID LN Equity,3282.95843
IFRA US Equity,3266.8606
XT US Equity,3312.8157
AEEM FP Equity,3305.84507
EWY US Equity,3300.8473
MSE FP Equity,3323.41237
BKLC US Equity,3271.4976
C50 FP Equity,3317.86751
CGXU US Equity,3282.7669
EUSRI FP Equity,3279.9466
133690 KS Equity,
FEZ US Equity,3256.172
159949 CH Equity,
VIOO US Equity,3177.4484
IDP6 LN Equity,3170.3269
