,2025-02-07
SPY US Equity,627054.3538
VOO US Equity,622276.802
IVV US Equity,599011.141
VTI US Equity,474060.3125
QQQ US Equity,327929.8801
VUG US Equity,159977.6157
1306 JP Equity,153299.4791
VEA US Equity,141166.967
VTV US Equity,135043.6067
IEFA US Equity,123933.6083
CSPX LN Equity,115235.5769
IWF US Equity,106270.4565
IJH US Equity,98738.5555
SWDA LN Equity,99702.62432
IJR US Equity,88713.5817
VIG US Equity,89297.8975
VGT US Equity,86172.1392
VWO US Equity,80881.3436
IEMG US Equity,80063.756
VXUS US Equity,78330.9622
VO US Equity,76464.2596
RSP US Equity,74028.20837
XLK US Equity,73100.1487
IWM US Equity,73166.4577
1308 JP Equity,72695.8265
SCHD US Equity,67238.9798
1321 JP Equity,69508.7624
1305 JP Equity,69718.8172
VB US Equity,65606.635
ITOT US Equity,66186.1297
VUSA LN Equity,66924.4887
IWD US Equity,62116.9362
VYM US Equity,61225.85
IVW US Equity,58461.9306
SPLG US Equity,58633.8938
510300 CH Equity,56641.02617
EFA US Equity,55966.8396
SCHX US Equity,53316.369
XLF US Equity,54588.6725
QUAL US Equity,50981.709
VT US Equity,42715.7526
VV US Equity,41857.1472
QQQM US Equity,42968.9943
SCHF US Equity,42206.7266
IWB US Equity,39511.2917
IWR US Equity,40046.3859
SPXS LN Equity,39404.1919
DIA US Equity,38869.7024
SCHG US Equity,38927.5358
VEU US Equity,39119.0194
JEPI US Equity,38764.5347
IXUS US Equity,38993.1844
XLV US Equity,37823.9537
510310 CH Equity,37535.39452
IVE US Equity,35429.4886
SPYG US Equity,35532.3765
XLE US Equity,32308.7202
VNQ US Equity,35547.0944
VWRD LN Equity,34746.9206
SCHB US Equity,33449.0712
DFAC US Equity,33569.1025
1330 JP Equity,33657.6713
VBR US Equity,31802.1452
DGRO US Equity,31368.9187
1320 JP Equity,31036.441
VONG US Equity,26421.0153
COWZ US Equity,25015.1913
MGK US Equity,25613.387
SPYV US Equity,25269.9652
SMH US Equity,22673.1727
MDY US Equity,24430.8036
XLY US Equity,23877.5497
510330 CH Equity,23803.9852
EMIM LN Equity,24107.34587
510050 CH Equity,23513.39211
159919 CH Equity,23327.48002
USMV US Equity,23577.0619
SPY5 LN Equity,23726.895
SBINIFT IN Equity,22549.88745
VXF US Equity,22402.337
JEPQ US Equity,22946.3832
XLI US Equity,21983.6577
SPDW US Equity,22703.1395
IUSG US Equity,21744.2078
SP5 FP Equity,22586.91544
1348 JP Equity,21957.902
XLC US Equity,21865.1835
VBK US Equity,20298.8098
EEDS LN Equity,20418.2817
IYW US Equity,20093.7085
DVY US Equity,19876.5558
SDY US Equity,19998.5508
IUSV US Equity,19937.831
EFV US Equity,20383.3274
ACWI US Equity,19623.0962
IUSA LN Equity,19124.63637
SCHA US Equity,18706.1449
XDWD LN Equity,19380.974
2800 HK Equity,19668.60756
IWP US Equity,18964.329
CSNDX SW Equity,18088.9292
VOE US Equity,17761.1012
FNDX US Equity,17917.5272
XLU US Equity,17407.8864
ISAC LN Equity,18050.1295
510500 CH Equity,17654.63024
VGK US Equity,17705.8774
VHT US Equity,16979.7862
XLP US Equity,16360.1843
AVUV US Equity,15987.579
VOT US Equity,16565.4538
IDEV US Equity,16712.4076
ZSP CN Equity,16108.49532
IWV US Equity,15718.0947
EFG US Equity,16076.9395
VOOG US Equity,16173.8316
EEM US Equity,16055.0284
EMXC US Equity,15546.9787
1346 JP Equity,15797.3231
MOAT US Equity,14738.9527
OEF US Equity,15163.1368
DGRW US Equity,15163.9034
VFV CN Equity,15367.74029
SOXX US Equity,13116.0539
MTUM US Equity,15879.415
DYNF US Equity,15085.2686
ISF LN Equity,14776.55344
IWY US Equity,14133.6327
XDEW GR Equity,12910.31145
ESGU US Equity,14037.7224
IWS US Equity,13786.5301
GDX US Equity,14234.6295
0050 TT Equity,14065.10378
FTEC US Equity,13590.2693
FNDF US Equity,13873.6785
