자산군,대분류,분류,ff/aum,return_1w,AUM
주식,Country,DM,0.09,-0.5,8797502.3
주식,Country,EM,-0.13,0.3,830413.9
주식,Country,US,0.11,-1.0,4782003.9
주식,Country,Europe,0.16,1.8,132038.9
주식,Country,Japan,0.16,-0.9,596752.2
주식,Country,China,-0.25,-0.4,321113.3
주식,Country,Taiwan,0.0,0.0,77000.1
주식,Country,Korea,0.0,-0.8,10361.4
주식,Country,India,-0.27,1.7,83239.8
주식,Style,Growth,0.2,-1.2,1551033.4
주식,Style,Value,0.07,0.4,1125434.4
주식,Style,Large,0.04,-0.5,7395675.7
주식,Style,Mid,0.14,-0.3,432739.6
주식,Style,Small,0.05,-0.3,513479.5
주식,Sector,Communication,0.28,-4.2,38899.0
주식,Sector,Discretionary,1.13,1.0,38800.8
주식,Sector,Staples,-0.67,1.6,25282.7
주식,Sector,Energy,-0.67,-2.5,68627.8
주식,Sector,Financial,1.68,1.0,115874.8
주식,Sector,Healthcare,0.23,1.5,97968.3
주식,Sector,Industrial,2.0,-1.5,54941.9
주식,Sector,Materials,-0.72,-0.4,37388.5
주식,Sector,Technology,0.48,-3.5,387889.9
주식,Sector,Utilites,-1.13,-0.8,31296.5
