,Asset,Date,Return
0,Stock,Nov 15,-2.36
1,Bond,Nov 15,-0.84
2,Commodity,Nov 15,-2.09
3,Stock,Nov 22,1.37
4,Bond,Nov 22,0.19
5,Commodity,Nov 22,3.8
6,Stock,Nov 29,0.98
7,Bond,Nov 29,1.39
8,Commodity,Nov 29,-2.1
9,Stock,Dec 06,1.3
10,Bond,Dec 06,0.45
11,Commodity,Dec 06,-0.79
12,Stock,Dec 13,-0.87
13,Bond,Dec 13,-1.38
14,Commodity,Dec 13,2.79
15,Stock,Dec 20,-2.53
16,Bond,Dec 20,-0.69
17,Commodity,Dec 20,-1.32
18,Stock,Dec 27,0.88
19,Bond,Dec 27,-0.33
20,Commodity,Dec 27,0.76
21,Stock,Jan 03,-0.52
22,Bond,Jan 03,0.18
23,Commodity,Jan 03,1.93
24,Stock,Jan 10,-1.58
25,Bond,Jan 10,-0.87
26,Commodity,Jan 10,3.13
27,Stock,Jan 17,2.56
28,Bond,Jan 17,0.99
29,Commodity,Jan 17,1.22
30,Stock,Jan 24,2.07
31,Bond,Jan 24,0.11
32,Commodity,Jan 24,-1.18
33,Stock,Jan 31,-0.44
34,Bond,Jan 31,0.44
35,Commodity,Jan 31,-1.62
