자산군,분류,ff/aum,return_1w,AUM
주식,DM,0.09,-0.1,8794725.8
주식,EM,0.09,1.4,837185.9
주식,US,0.16,-0.2,4778489.4
주식,Europe,0.45,0.6,132887.7
주식,Japan,-0.08,-2.0,596857.0
주식,China,-0.06,2.0,322770.6
주식,Taiwan,1.34,-0.5,78183.3
주식,Korea,0.65,0.2,10347.2
주식,India,-0.23,0.5,82968.2
주식,Growth,0.15,0.0,1557231.4
주식,Value,0.16,0.1,1121729.9
주식,Large,0.14,0.1,7406947.0
주식,Mid,0.22,-0.1,432031.1
주식,Small,-0.15,-0.0,509478.9
주식,Communication,0.59,2.7,39159.3
주식,Discretionary,-0.08,-1.9,37742.8
주식,Staples,-1.11,0.8,25143.2
주식,Energy,-0.79,0.7,68550.2
주식,Financial,0.97,0.6,117627.9
주식,Healthcare,-1.46,-0.2,96216.4
주식,Industrial,-0.65,-0.7,54177.3
주식,Materials,0.57,0.8,38862.1
주식,Technology,-0.83,0.8,389124.0
주식,Utilites,0.28,-0.2,31449.4
채권,Agg,0.41,0.4,748523.3
채권,Bank_loan,0.18,-0.0,27112.4
채권,Convertible,0.18,0.2,13439.6
채권,Corporate,0.27,-0.0,576761.3
채권,Government,0.34,0.6,674426.5
채권,Inflation_protected,0.47,0.4,69131.2
채권,Mortgage_Backed,0.18,0.4,78904.1
채권,A_above,0.23,1.7,615925.0
채권,IG,0.39,0.4,1159037.9
채권,HY,-0.03,-0.0,123582.7
채권,Long,-0.7,1.7,243277.1
채권,Intermediate,0.29,0.1,356453.4
채권,Low,0.35,-0.4,323316.1
원자재,Diversified,-0.23,2.0,20495.3
원자재,Precious_metals,0.26,1.8,281464.0
원자재,Energy&Fuel,10.38,-2.1,1109.4
원자재,Industrial_metals,-0.43,2.8,1299.2
원자재,Agriculture,2.51,1.5,883.5
대체,multi_strategy,0.0,0.1,700.1
대체,macro,0.77,-5.6,151423.1
대체,equity_hedge,1.43,,1901.5
