,2025-01-31
SPY US Equity,-3338.9339
VOO US Equity,1507.5264000000002
IVV US Equity,-1693.6950000000004
VTI US Equity,510.86609999999996
QQQ US Equity,-718.4489999999998
VUG US Equity,271.7655
1306 JP Equity,37.2524
VEA US Equity,3.5045
VTV US Equity,408.0134
IEFA US Equity,0
CSPX LN Equity,346.0348
IWF US Equity,-259.55170000000004
IJH US Equity,288.90569999999997
SWDA LN Equity,-11.447500000000002
IJR US Equity,-29.512199999999996
VIG US Equity,-95.5023
VGT US Equity,1816.7575
VWO US Equity,1.0535
IEMG US Equity,0
VXUS US Equity,43.936899999999994
VO US Equity,129.3825
RSP US Equity,783.4042
XLK US Equity,-76.72749999999999
IWM US Equity,1090.4823000000001
1308 JP Equity,480.53619999999995
SCHD US Equity,197.5919
1321 JP Equity,-84.704
1305 JP Equity,-18.8482
VB US Equity,72.3643
ITOT US Equity,26.5042
VUSA LN Equity,36.0501
IWD US Equity,-864.6351999999999
VYM US Equity,-57.74159999999999
IVW US Equity,171.83589999999998
SPLG US Equity,407.02790000000005
510300 CH Equity,-370.6533
EFA US Equity,0
SCHX US Equity,134.94009999999997
XLF US Equity,1345.6055999999999
QUAL US Equity,-670.2173
VT US Equity,-96.6917
VV US Equity,9.2394
QQQM US Equity,478.93219999999997
SCHF US Equity,0
IWB US Equity,-166.16989999999998
IWR US Equity,37.2329
SPXS LN Equity,27.8911
DIA US Equity,-939.4418999999999
SCHG US Equity,173.8583
VEU US Equity,3.4123
JEPI US Equity,280.38110000000006
IXUS US Equity,0
XLV US Equity,351.3021
510310 CH Equity,-166.124
IVE US Equity,39.4985
SPYG US Equity,122.3423
XLE US Equity,-477.1749
VNQ US Equity,-14.124200000000002
VWRD LN Equity,-46.0878
SCHB US Equity,0
DFAC US Equity,71.36550000000001
1330 JP Equity,78.2377
VBR US Equity,22.1007
DGRO US Equity,296.7739
1320 JP Equity,-15.4254
VONG US Equity,141.9728
COWZ US Equity,-47.032
MGK US Equity,34.5628
SPYV US Equity,82.1212
SMH US Equity,-1231.4725000000003
MDY US Equity,-147.3851
XLY US Equity,415.9327
510330 CH Equity,-72.352
EMIM LN Equity,0
510050 CH Equity,-161.134
159919 CH Equity,14.947
USMV US Equity,128.9263
SPY5 LN Equity,183.976
SBINIFT IN Equity,0
VXF US Equity,36.4287
JEPQ US Equity,584.3798
XLI US Equity,512.7311
SPDW US Equity,0
IUSG US Equity,0.4407999999999994
SP5 FP Equity,-0.08150000000000035
1348 JP Equity,-17.9841
XLC US Equity,55.42179999999999
VBK US Equity,29.9224
EEDS LN Equity,19.492100000000015
IYW US Equity,-40.3426
DVY US Equity,-155.9968
SDY US Equity,-20.358800000000002
IUSV US Equity,-143.966
EFV US Equity,0
ACWI US Equity,-193.8223
IUSA LN Equity,-27.8596
SCHA US Equity,-6.7567
XDWD LN Equity,98.8111
2800 HK Equity,42.1241
IWP US Equity,-65.32799999999999
CSNDX SW Equity,57.058499999999995
VOE US Equity,4.3032
FNDX US Equity,53.108599999999996
XLU US Equity,-328.9377
ISAC LN Equity,62.6543
510500 CH Equity,-255.1261
VGK US Equity,21.118100000000002
VHT US Equity,-52.042699999999996
XLP US Equity,-166.0979
AVUV US Equity,140.80939999999998
VOT US Equity,48.1402
IDEV US Equity,191.2029
ZSP CN Equity,36.327299999999994
IWV US Equity,-17.2964
EFG US Equity,0
VOOG US Equity,90.24680000000001
EEM US Equity,0
EMXC US Equity,0
1346 JP Equity,31.2234
MOAT US Equity,-9.857200000000002
OEF US Equity,14.7578
DGRW US Equity,54.3814
VFV CN Equity,122.5205
SOXX US Equity,-368.72439999999995
MTUM US Equity,151.54229999999998
DYNF US Equity,163.44379999999998
ISF LN Equity,0.7123
IWY US Equity,23.7633
XDEW GR Equity,166.2468
ESGU US Equity,-26.687500000000004
IWS US Equity,-114.3253
GDX US Equity,-199.48660000000004
0050 TT Equity,0
FTEC US Equity,54.3003
FNDF US Equity,0
RDVY US Equity,94.3106
GSLC US Equity,-41.600500000000004
SBISENX IN Equity,0
EWJ US Equity,81.9503
DFUS US Equity,28.926
588000 CH Equity,171.589
IWO US Equity,-192.7236
EQQQ IM Equity,-26.7036
CGDV US Equity,94.70859999999999
JREU LN Equity,-43.675200000000004
SPSM US Equity,6.989100000000001
159915 CH Equity,-146.4802
SPMD US Equity,94.024
VTWO US Equity,-936.1352
IWN US Equity,25.388400000000004
HMWD LN Equity,-4.0958
SPHQ US Equity,35.7183
SCHV US Equity,5.462
VFH US Equity,50.3768
NOBL US Equity,-10.1254
SCHM US Equity,13.1192
SASU LN Equity,-63.764
00878 TT Equity,0
0056 TT Equity,0
DFUV US Equity,12.8591
XIU CN Equity,-144.7799
1475 JP Equity,186.3367
DFAT US Equity,-43.2787
VAS AU Equity,0
HDV US Equity,-92.52590000000001
BBJP US Equity,263.0716
SPPW GR Equity,27.594
IUIT LN Equity,74.7465
