,Asset,Date,Return
0,Stock,Nov 22,1.37
1,Bond,Nov 22,0.19
2,Commodity,Nov 22,3.8
3,Stock,Nov 29,0.98
4,Bond,Nov 29,1.39
5,Commodity,Nov 29,-2.1
6,Stock,Dec 06,1.3
7,Bond,Dec 06,0.45
8,Commodity,Dec 06,-0.79
9,Stock,Dec 13,-0.87
10,Bond,Dec 13,-1.38
11,Commodity,Dec 13,2.79
12,Stock,Dec 20,-2.53
13,Bond,Dec 20,-0.69
14,Commodity,Dec 20,-1.32
15,Stock,Dec 27,0.88
16,Bond,Dec 27,-0.33
17,Commodity,Dec 27,0.76
18,Stock,Jan 03,-0.52
19,Bond,Jan 03,0.18
20,Commodity,Jan 03,1.93
21,Stock,Jan 10,-1.58
22,Bond,Jan 10,-0.87
23,Commodity,Jan 10,3.13
24,Stock,Jan 17,2.56
25,Bond,Jan 17,0.99
26,Commodity,Jan 17,1.22
27,Stock,Jan 24,2.07
28,Bond,Jan 24,0.11
29,Commodity,Jan 24,-1.18
30,Stock,Jan 31,-0.44
31,Bond,Jan 31,0.44
32,Commodity,Jan 31,-1.62
33,Stock,Feb 07,0.05
34,Bond,Feb 07,0.39
35,Commodity,Feb 07,0.23
